Customer ID,Customer_Name,Segment,Recency,Frequency,Monetary,Recency_log,Frequency_log,Monetary_log,Recency_scaled,Frequency_scaled,Monetary_scaled,Cluster
AA-10315,Alex Avila,Consumer,9,19,13747.413,2.302585093,2.995732274,9.528678678,-0.9953123232,0.5305014951,0.8853643322,2
AA-10375,Allen Armold,Consumer,7,23,5884.195,2.079441542,3.17805383,8.680195154,-1.162000538,0.7780314034,0.2272583093,2
AA-10480,Andrew Allen,Consumer,126,20,17695.58978,4.844187086,3.044522438,9.781127232,0.9032641619,0.5967417416,1.081170036,2
AA-10645,Anna Andreadi,Consumer,29,36,15343.8907,3.401197382,3.610917913,9.638537844,-0.1746490318,1.36571181,0.9705739759,2
AA-315,Alex Avila,Consumer,3,7,2243.256,1.386294361,2.079441542,7.716129342,-1.679781426,-0.7135058775,-0.5204963606,1
AA-375,Allen Armold,Consumer,254,8,654.492,5.541263545,2.197224577,6.485386099,1.423980221,-0.553597063,-1.475093024,1
AA-480,Andrew Allen,Consumer,315,5,2063.493,5.755742214,1.791759469,7.632639955,1.584195769,-1.104079095,-0.5852529141,1
AA-645,Anna Andreadi,Consumer,52,11,1968.324,3.970291914,2.48490665,7.585445616,0.2504645379,-0.1630238457,-0.6218580783,1
AB-10015,Aaron Bergman,Consumer,17,32,20037.4975,2.890371758,3.496507561,9.905410577,-0.5562357317,1.21038194,1.177567451,2
AB-10060,Adam Bellavance,Home Office,43,32,18416.5504,3.784189634,3.496507561,9.821059315,0.1114461499,1.21038194,1.112142405,2
AB-10105,Adrian Barton,Consumer,28,33,22966.78,3.36729583,3.526360525,10.04184764,-0.1999734881,1.250911987,1.283391609,2
AB-10150,Aimee Bixby,Consumer,36,24,13057.2946,3.610917913,3.218875825,9.477178812,-0.01798781194,0.8334536186,0.8454196887,2
AB-10165,Alan Barnes,Consumer,14,29,11649.265,2.708050201,3.401197382,9.363084206,-0.69242992,1.080983527,0.7569249262,2
AB-10255,Alejandro Ballentine,Home Office,6,31,10786.7164,1.945910149,3.465735903,9.286163395,-1.261748478,1.168604621,0.6972631331,2
AB-105,Adrian Barton,Consumer,44,7,2156.4,3.80666249,2.079441542,7.676659072,0.1282333715,-0.7135058775,-0.5511105349,1
AB-10600,Ann Blume,Corporate,51,22,13318.6631,3.951243719,3.135494216,9.496996651,0.2362355378,0.7202500986,0.8607909229,2
AB-15,Aaron Bergman,Consumer,413,5,4607.13,6.025865974,1.791759469,8.435577414,1.785978196,-1.104079095,0.03752638909,1
AB-150,Aimee Bixby,Consumer,399,4,3143.88,5.991464547,1.609437912,8.053531013,1.760280333,-1.351609003,-0.2587987964,1
AB-165,Alan Barnes,Consumer,17,6,1399.776,2.890371758,1.945910149,7.244781648,-0.5562357317,-0.8947955393,-0.8860859657,1
AB-255,Alejandro Ballentine,Home Office,44,8,4679.502,3.80666249,2.197224577,8.451160648,0.1282333715,-0.553597063,0.04961315339,1
AB-60,Adam Bellavance,Home Office,36,9,1770.228,3.610917913,2.302585093,7.47942837,-0.01798781194,-0.410553754,-0.7040878279,1
AB-600,Ann Blume,Corporate,8,5,5408.55,2.197224577,1.791759469,8.595921189,-1.07401662,-1.104079095,0.1618932168,1
AC-10420,Alyssa Crouse,Corporate,7,24,10607.6947,2.079441542,3.218875825,9.269429199,-1.162000538,0.8334536186,0.6842836522,2
AC-10450,Amy Cox,Consumer,6,19,16126.3904,1.945910149,2.995732274,9.688274373,-1.261748478,0.5305014951,1.009150929,2
AC-10615,Ann Chong,Corporate,7,29,12729.72448,2.079441542,3.401197382,9.451773601,-1.162000538,1.080983527,0.8257147421,2
AC-10660,Anna Chung,Consumer,3,21,6255.61908,1.386294361,3.091042453,8.741395235,-1.679781426,0.6598999079,0.2747266934,2
AC-420,Alyssa Crouse,Corporate,14,9,1689.675,2.708050201,2.302585093,7.432883136,-0.69242992,-0.410553754,-0.7401895292,1
AC-450,Amy Cox,Consumer,182,7,1026.597,5.209486153,2.079441542,6.934978346,1.176142535,-0.7135058775,-1.126377513,1
AC-615,Ann Chong,Corporate,93,7,2298.432,4.543294782,2.079441542,7.740417415,0.6784976348,-0.7135058775,-0.5016578958,1
AC-660,Anna Chung,Consumer,120,4,2676.09,4.795790546,1.609437912,7.892485663,0.8671119498,-1.351609003,-0.3837097838,1
AD-10180,Alan Dominguez,Home Office,30,27,17858.5048,3.433987204,3.33220451,9.790291127,-0.1501550367,0.9873149589,1.088277793,2
AD-180,Alan Dominguez,Home Office,6,3,681.288,1.945910149,1.386294361,6.525451856,-1.261748478,-1.654561127,-1.444016974,1
AF-10870,Art Ferguson,Consumer,7,36,26487.2585,2.079441542,3.610917913,10.18445684,-1.162000538,1.36571181,1.394003032,2
AF-10885,Art Foster,Consumer,54,35,19711.16728,4.007333185,3.583518938,9.888991352,0.2781343649,1.328513435,1.16483227,2
AF-870,Art Ferguson,Consumer,6,9,1700.082,1.945910149,2.302585093,7.439019798,-1.261748478,-0.410553754,-0.7354297738,1
AF-885,Art Foster,Consumer,168,2,354.99,5.129898715,1.098612289,5.874902641,1.116690725,-2.045134344,-1.948599968,1
AG-10270,Alejandro Grove,Consumer,41,25,10637.40422,3.737669618,3.258096538,9.272225772,0.076695702,0.886701845,0.686452748,2
AG-10300,Aleksandra Gannaway,Corporate,3,24,13013.8762,1.386294361,3.218875825,9.473848305,-1.679781426,0.8334536186,0.8428364602,2
AG-10330,Alex Grayson,Consumer,9,29,14534.50618,2.302585093,3.401197382,9.584349637,-0.9953123232,1.080983527,0.9285441847,2
AG-10390,Allen Goldenen,Consumer,115,19,8453.0096,4.753590191,2.995732274,9.042396117,0.8355882884,0.5305014951,0.5081908532,2
AG-10495,Andrew Gjertsen,Corporate,79,29,15380.31006,4.382026635,3.401197382,9.640908419,0.5580303415,1.080983527,0.9724126557,2
AG-10525,Andy Gerbode,Corporate,13,20,8468.963,2.63905733,3.044522438,9.044281419,-0.7439675895,0.5967417416,0.5096531433,2
AG-10675,Anna Gayman,Consumer,48,21,13023.836,3.891820298,3.091042453,9.474613275,0.1918462475,0.6598999079,0.843429791,2
AG-10765,Anthony Garverick,Home Office,29,27,9824.7795,3.401197382,3.33220451,9.192764772,-0.1746490318,0.9873149589,0.6248207169,2
AG-10900,Arthur Gainer,Consumer,58,29,18174.17176,4.077537444,3.401197382,9.807811753,0.3305769405,1.080983527,1.101867249,2
AG-270,Alejandro Grove,Consumer,14,8,2779.806,2.708050201,2.197224577,7.930496093,-0.69242992,-0.553597063,-0.3542278996,1
AG-300,Aleksandra Gannaway,Corporate,99,6,1703.31,4.605170186,1.945910149,7.440915616,0.7247185565,-0.8947955393,-0.7339593281,1
AG-330,Alex Grayson,Consumer,3,7,532.545,1.386294361,2.079441542,6.279543416,-1.679781426,-0.7135058775,-1.634749995,1
AG-390,Allen Goldenen,Consumer,113,4,473.112,4.736198448,1.609437912,6.161443581,0.822596658,-1.351609003,-1.726351317,1
AG-495,Andrew Gjertsen,Corporate,49,11,1003.992,3.912023005,2.48490665,6.91273486,0.2069376682,-0.1630238457,-1.143630143,1
AG-525,Andy Gerbode,Corporate,16,7,2870.676,2.833213344,2.079441542,7.96265111,-0.5989330623,-0.7135058775,-0.3292876265,1
AG-675,Anna Gayman,Consumer,174,10,2368.131,5.164785974,2.397895273,7.7702785,1.142751505,-0.2811553412,-0.4784968567,1
AG-765,Anthony Garverick,Home Office,115,8,1859.532,4.753590191,2.197224577,7.528617747,0.8355882884,-0.553597063,-0.66593526,1
AG-900,Arthur Gainer,Consumer,24,4,1699.47,3.218875825,1.609437912,7.438659962,-0.31084322,-1.351609003,-0.7357088718,1
AH-10030,Aaron Hawkins,Corporate,13,27,14439.49784,2.63905733,3.33220451,9.577791888,-0.7439675895,0.9873149589,0.923457823,2
AH-10075,Adam Hart,Corporate,3,34,18109.86142,1.386294361,3.555348061,9.804267116,-1.679781426,1.290267082,1.099117935,2
AH-10120,Adrian Hane,Home Office,61,22,9927.83588,4.127134385,3.135494216,9.203198518,0.3676258515,0.7202500986,0.632913403,2
AH-10195,Alan Haines,Corporate,50,25,12628.19178,3.931825633,3.258096538,9.443766221,0.2217302292,0.886701845,0.8195040087,2
AH-10210,Alan Hwang,Consumer,7,34,20365.74018,2.079441542,3.555348061,9.921658466,-1.162000538,1.290267082,1.190169738,2
AH-10465,Amy Hunt,Consumer,71,20,8547.83068,4.276666119,3.044522438,9.05354979,0.4793260448,0.5967417416,0.5168419341,2
AH-10585,Angele Hood,Consumer,22,22,9125.8911,3.135494216,3.135494216,9.118980401,-0.3731292752,0.7202500986,0.5675916279,2
AH-10690,Anna H�berlin,Corporate,31,31,16276.16112,3.465735903,3.465735903,9.697518246,-0.1264387616,1.168604621,1.016320719,2
AH-120,Adrian Hane,Home Office,22,4,1478.082,3.135494216,1.609437912,7.299176904,-0.3731292752,-1.351609003,-0.8438955817,1
AH-195,Alan Haines,Corporate,279,9,2651.565,5.634789603,2.302585093,7.883282375,1.493844178,-0.410553754,-0.3908480942,1
AH-210,Alan Hwang,Consumer,458,4,3277.11,6.12905021,1.609437912,8.095022316,1.863056812,-1.351609003,-0.226617056,1
AH-30,Aaron Hawkins,Corporate,469,7,6320.016,6.152732695,2.079441542,8.751635234,1.880747626,-0.7135058775,0.2826691043,1
AH-465,Amy Hunt,Consumer,242,4,650.826,5.493061443,1.609437912,6.479777655,1.387973254,-1.351609003,-1.47944308,1
AH-585,Angele Hood,Consumer,76,9,2232.222,4.343805422,2.302585093,7.711200665,0.5294790986,-0.410553754,-0.5243191717,1
AH-690,Anna H�berlin,Corporate,59,5,1817.898,4.094344562,1.791759469,7.505986102,0.3431318565,-1.104079095,-0.6834889561,1
